order_id,date_id,price_inr,rating,rating_count,location_id,restaurant_id,category_id,dish_id,date_id,full_date,year,month,month_name,quarter,day,week,location_id,state,city,location,restaurant_id,restaurant_name,category_id,category,dish_id,dish_name
1,1,133.90,4.00,0,1,1,1,1,1,2025-06-29,2025,6,June,2,29,26,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",1,"Anand Sweets & Savouries",1,Snack,1,"Butter Murukku-200gm"
6541,1,133.90,4.00,0,31,1,1,1,1,2025-06-29,2025,6,June,2,29,26,31,Karnataka,Bengaluru,"Rajarajeshwari Nagar",1,"Anand Sweets & Savouries",1,Snack,1,"Butter Murukku-200gm"
6542,1,133.90,4.00,0,1,1,1,1,1,2025-06-29,2025,6,June,2,29,26,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",1,"Anand Sweets & Savouries",1,Snack,1,"Butter Murukku-200gm"
33498,226,133.90,4.00,0,31,1,1,1,226,2025-06-29,2025,6,June,2,29,26,31,Karnataka,Bengaluru,"Rajarajeshwari Nagar",1,"Anand Sweets & Savouries",1,Snack,1,"Butter Murukku-200gm"
33499,226,133.90,4.00,0,1,1,1,1,226,2025-06-29,2025,6,June,2,29,26,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",1,"Anand Sweets & Savouries",1,Snack,1,"Butter Murukku-200gm"
33500,1,133.90,4.00,0,31,49,1,1,1,2025-06-29,2025,6,June,2,29,26,31,Karnataka,Bengaluru,"Rajarajeshwari Nagar",49,"Anand Sweets & Savouries",1,Snack,1,"Butter Murukku-200gm"
33501,1,133.90,4.00,0,1,49,1,1,1,2025-06-29,2025,6,June,2,29,26,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",49,"Anand Sweets & Savouries",1,Snack,1,"Butter Murukku-200gm"
33502,226,133.90,4.00,0,31,49,1,1,226,2025-06-29,2025,6,June,2,29,26,31,Karnataka,Bengaluru,"Rajarajeshwari Nagar",49,"Anand Sweets & Savouries",1,Snack,1,"Butter Murukku-200gm"
33503,226,133.90,4.00,0,1,49,1,1,226,2025-06-29,2025,6,June,2,29,26,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",49,"Anand Sweets & Savouries",1,Snack,1,"Butter Murukku-200gm"
4,2,52.00,4.00,25,2,2,2,2,2,2025-04-03,2025,4,April,2,3,13,2,Karnataka,Bengaluru,Kengeri,2,"Srinidhi Sagar Deluxe",2,Recommended,2,"Badam Milk"
5,3,117.00,5.00,48,2,2,2,3,3,2025-01-15,2025,1,January,1,15,2,2,Karnataka,Bengaluru,Kengeri,2,"Srinidhi Sagar Deluxe",2,Recommended,3,"Chow Chow Bath"
6,4,65.00,5.00,65,2,2,2,4,4,2025-04-17,2025,4,April,2,17,15,2,Karnataka,Bengaluru,Kengeri,2,"Srinidhi Sagar Deluxe",2,Recommended,4,"Kesari Bath"
8,5,130.00,4.00,0,2,2,2,5,5,2025-03-13,2025,3,March,1,13,10,2,Karnataka,Bengaluru,Kengeri,2,"Srinidhi Sagar Deluxe",2,Recommended,5,"Mix Raitha"
9,6,312.00,4.00,0,2,2,2,6,6,2025-07-08,2025,7,July,3,8,27,2,Karnataka,Bengaluru,Kengeri,2,"Srinidhi Sagar Deluxe",2,Recommended,6,"Srinidhi Sagar Special"
11,7,98.00,4.00,34,2,2,2,7,7,2025-01-21,2025,1,January,1,21,3,2,Karnataka,Bengaluru,Kengeri,2,"Srinidhi Sagar Deluxe",2,Recommended,7,"Garlic Naan"
12,8,137.00,4.00,0,2,2,2,8,8,2025-04-13,2025,4,April,2,13,15,2,Karnataka,Bengaluru,Kengeri,2,"Srinidhi Sagar Deluxe",2,Recommended,8,Pista
14,117,290.00,4.00,392,6,11,2,9,117,2025-08-11,2025,8,August,3,11,32,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,9,"Panneer Butter Masala"
27,197,290.00,5.00,85,6,11,2,19,197,2025-05-18,2025,5,May,2,18,20,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,19,"Mushroom Masala"
48,36,160.00,5.00,5,1,3,2,38,36,2025-05-19,2025,5,May,2,19,20,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",3,"Nisarga Family Daba",2,Recommended,38,"Curd Rice"
64,47,90.00,4.00,6,1,3,2,51,47,2025-08-28,2025,8,August,3,28,34,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",3,"Nisarga Family Daba",2,Recommended,51,"Biriyani Rice"
89,153,440.00,4.00,0,1,3,2,75,153,2025-04-08,2025,4,April,2,8,14,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",3,"Nisarga Family Daba",2,Recommended,75,"Mutton Pepper Dry"
214,192,90.00,4.00,0,1,3,2,195,192,2025-08-02,2025,8,August,3,2,30,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",3,"Nisarga Family Daba",2,Recommended,195,"Steam Rice"
259,61,379.00,4.00,16,5,6,2,240,61,2025-05-15,2025,5,May,2,15,19,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,240,"Combo for 1 Non-Veg"
260,143,189.00,4.00,1,5,6,2,241,143,2025-02-26,2025,2,February,1,26,8,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,241,"Hunan Paneer Dry - Mini"
263,93,359.00,4.00,4,5,6,2,244,93,2025-02-05,2025,2,February,1,5,5,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,244,"Hunan Paneer Dry - Full"
266,148,110.00,4.00,6,1,3,2,246,148,2025-07-17,2025,7,July,3,17,28,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",3,"Nisarga Family Daba",2,Recommended,246,"Kalmi Kabab (Chicken)"
267,144,189.00,4.00,2,5,6,2,247,144,2025-06-22,2025,6,June,2,22,25,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,247,"Schezwan Paneer Dry - Mini"
269,145,359.00,5.00,4,5,6,2,249,145,2025-01-20,2025,1,January,1,20,3,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,249,"Schezwan Paneer Dry - Full"
273,30,209.00,4.00,19,5,6,2,253,30,2025-02-16,2025,2,February,1,16,7,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,253,"Hunan Chicken Dry - Mini"
275,68,379.00,5.00,10,5,6,2,255,68,2025-01-08,2025,1,January,1,8,1,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,255,"Hunan Chicken Dry - Full"
276,147,209.00,4.00,7,5,6,2,256,147,2025-08-26,2025,8,August,3,26,34,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,256,"Schezwan Chicken Dry - Mini"
277,70,169.00,4.00,19,1,7,2,257,70,2025-01-03,2025,1,January,1,3,0,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",7,"Thalassery Restaurant",2,Recommended,257,"Al Faham Chicken"
