state,city,restaurant_name,location,category,dish_name,price_inr,rating,rating_count,order_date,id
Karnataka,Bengaluru,"Anand Sweets & Savouries","Rajarajeshwari Nagar",Snack,"Butter Murukku-200gm",133.90,4,0,2025-06-29,1
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Recommended,"Badam Milk",52.00,4,25,2025-04-03,2
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Recommended,"Chow Chow Bath",117.00,5,48,2025-01-15,3
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Recommended,"Kesari Bath",65.00,5,65,2025-04-17,4
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Recommended,"Mix Raitha",130.00,4,0,2025-03-13,5
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Recommended,"Srinidhi Sagar Special",312.00,4,0,2025-07-08,6
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Recommended,"Garlic Naan",98.00,4,34,2025-01-21,7
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Recommended,Pista,137.00,4,0,2025-04-13,8
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Panneer Butter Masala",241.00,4,29,2025-05-02,9
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Dal Tadka",195.00,5,51,2025-07-30,10
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Kaju Masla",312.00,4,0,2025-08-03,11
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"Ice Creams In Cup","Pineapple                ",91.00,4,0,2025-07-24,12
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Palak Panner",234.00,4,0,2025-03-16,13
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Panneer Kofta",286.00,4,0,2025-07-22,14
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Panneer Burji",312.00,4,0,2025-03-29,15
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Panneer Shahi Kurma",286.00,5,4,2025-04-27,16
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Malai Kofta",260.00,4,26,2025-04-10,17
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Navarathna Kurma (Sweet Dish)",299.00,4,0,2025-04-14,18
